cs_company_id,matched_name,incorp_date,employees,creditworthy,credit_score,credit_limit,sector,office_type_code,common_score,currency,is_active,country_code,estimated_revenue,reg_type,profit,dbt_ltd,dbt_nltd,dbt,probability_of_default,ultimate_holding_company_identifier,ultimate_holding_company,ultimate_holding_company_country,common_score_bulk_365,credit_score_bulk_365,credit_limit_bulk_365,profit_bulk_365,estimated_revenue_bulk_365,dbt_ltd_bulk_365,dbt_nltd_bulk_365,dbt_bulk_365,probability_of_default_bulk_365,group_structure_count
IT07826199,SOMAINI MAURIZIO,02-08-1985,1,Y,56,6000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,56,6000,,,,,,,0
IE00016662,MARLBORO TRUST (RETAIL) DESIGNATED ACTIVITY COMPANY,01-04-1965,109,Y,71,610000,G,HEAD OFFICE,A,EUR,TRUE,IE,18702436,LIMITED,-620127,,,,,IE00016661,MARLBORO'' TRUST DESIGNATED ACTIVITY COMP,IRL,A,82,745000,-294445,17626355,,,,,4
UK13272847,INNOVATIONS (BS) LIMITED,10-11-2014,1,Y,67,23835,L,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,,,,,,,,B,67,23835,,,,,,,0
IE00048465,ATA TOOLS LIMITED,23-02-1976,134,Y,86,875000,,HEAD OFFICE,A,EUR,TRUE,IE,32091109,LIMITED,-1651535,14,,14,,US131047137,HARVEY TOOL COMPANY LLC,USA,A,93,975000,373729,28720991,22,,22,,21
UK13305684,HP WALKER ENTERPRISE LTD,25-11-2014,,Y,41,595,G,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,19,,19,,,,,C,38,595,,,20,,20,,0
UK15990348,THE HAVEN INN (2017) LIMITED,05-07-2017,17,Y,31,595,I,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,,,,,UK15908482,THE HAVEN INN LIMITED,GBR,B,53,23835,,,,,,,2
UK15751552,FORTIS IBA LIMITED,08-03-2017,34,Y,95,446924,E,HEAD OFFICE,A,GBP,TRUE,GB,17323074.31945244,LIMITED,4509632.723012584,2,,2,,UK15125923,BINDER HOLDCO LIMITED,GBR,A,93,315826,4258452.543122301,21663018.56705126,3,,3,,12
IT07373064,AZ. AGR. LORENZINI ALBERTO,25-02-1997,1,Y,55,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,55,5000,,,,,,,0
IT07350732,VINI SULTANA DI MAUCERI FRANCESCA,12-06-2001,,Y,55,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,55,5000,,,,,,,0
IT07346976,AZ. AGR. MUGNAINI OVIDIO,12-03-2012,,Y,52,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
IT07346643,CHEN LIMING,09-06-2014,1,Y,50,4000,G,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,45,3000,,,,,,,0
IT07336589,BARBA ROBERTO,09-04-2002,,Y,48,4000,C,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,48,4000,,,,,,,0
IT07372670,ZHABOLI ALFRED,27-10-2009,1,Y,52,5000,F,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,C,46,4000,,,,,,,0
IT07337299,PERCOPO SERGIO,22-05-2003,4,Y,53,5000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,53,5000,,,,,,,0
UK14530020,GASCO SOLENT HEATING LIMITED,01-10-2015,2,Y,40,595,F,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,,,,,,,,C,38,595,,,2,,2,,0
UK14536211,SOUTHERN STORES (2015) LIMITED,05-10-2015,2,Y,53,8938,G,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,,,,,,,,B,53,8938,,,,,,,0
UK16034699,LIVERPOOL STORAGE LTD,27-07-2017,1,Y,53,5958,H,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,,,,,,,,B,53,8938,,,,,,,0
IT07349884,IL FILO DI PAGLIA DI FRANCESCA BOREANAZ,03-06-2008,4,Y,59,6000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,59,6000,,,,,,,0
UK16079469,CHAMPNEYS MOTTRAM HALL LIMITED,18-08-2017,201,Y,51,10130,I,HEAD OFFICE,B,GBP,TRUE,GB,12678206.865482733,LIMITED,-326973.8889,41,,41,,UK00966753,CHAMPNEYS HENLOW LIMITED,GBR,B,57,38137,2043909.485,12724318.796949469,16,,16,,8
UK14896479,BAIG TYRES LIMITED,21-03-2016,10,Y,58,59589,G,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,11,,11,,,,,B,55,59589,,,10,,10,,0
UK14857165,M H EAST & SONS LIMITED,07-03-2016,3,Y,51,5958,F,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,11,,11,,,,,B,51,5958,,,9,,9,,0
UK14862736,PROPERTY CONNECT (EAST MIDLAND) LTD,08-03-2016,1,Y,61,3575,L,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,,,,,,,,B,58,1787,,,,,,,0
IT07277068,BEGO SERENELLA,09-02-2010,,Y,51,5000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,51,5000,,,,,,,0
UK14904209,BRC PROJECTS LIMITED,23-03-2016,3,Y,40,3575,F,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,,,,,,,,C,36,595,,,,,,,0
UK17030301,MANN BUILDING SERVICES LIMITED,22-10-2018,1,Y,78,3575,F,HEAD OFFICE,A,GBP,TRUE,GB,220286.3418535111,LIMITED,12704.587357147879,9,,9,,,,,A,78,1191,13450.65412,202355.71176080097,7,,7,,0
UK15007260,ATLANTA INVESTMENT HOLDINGS 2 LIMITED,04-05-2016,,Y,46,595,K,HEAD OFFICE,C,GBP,TRUE,GB,0,LIMITED,-75645097.47,12,,12,,WXUK00110262,THE ARDONAGH GROUP LTD,JEY,A,74,178769,-414817.887,0,15,,15,,41
UK17034331,ATM STEEL LIMITED,23-10-2018,,Y,61,33370,F,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,23,,23,,UK16986810,ATM STEEL GROUP LTD,GBR,C,49,11917,,,22,,22,,6
UK17082624,FLO-VENT LIMITED,12-11-2018,12,Y,41,20260,F,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,4,,4,,,,,C,41,14301,,,4,,4,,0
UK15215711,RESI-LUTIONS LIMITED,04-07-2016,3,Y,36,1191,F,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,,,,,,,,C,34,595,,,,,,,0
IT07334881,IMMOBILIARE SCUDIERO DI TEDESCO GERARDO AGOSTINO,06-03-2006,1,Y,53,5000,L,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
UK17052898,WILLIAM TRACEY LIMITED,31-10-2018,,N,-19,0,U,HEAD OFFICE,not_scored,GBP,TRUE,GB,,LIMITED,,,,,,IE00162908,STEMBRIDGE LIMITED,IRL,not_scored,-34,0,,,,,,,31
UK15341364,STRANGE OAK LIMITED,30-08-2016,20,Y,63,23835,I,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,,,,,,,,C,37,5958,,,0,,0,,0
IT07372075,MINA ROCCO,23-01-1995,0,N,-5,0,C,HEAD OFFICE,not_scored,,FALSE,IT,,NON LIMITED,,,,,,,,,not_scored,17,0,,,,,,,0
IT07350794,SICA PASTA DI SICA ANTONIO,07-05-2014,,Y,48,4000,G,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,43,3000,,,,,,,0
UK17093618,DEE CLEARANCES LTD,16-11-2018,1,Y,45,595,E,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,6,,6,,,,,C,45,595,,,7,,7,,0
IT07332612,GUARRACINO ANNA,04-04-2000,,Y,53,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,53,5000,,,,,,,0
UK15396616,TFR PROPERTY IMPROVEMENTS LIMITED,22-09-2016,5,Y,40,1191,F,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,1,,1,,,,,C,45,3575,,,1,,1,,0
IT07371239,TAFI ROBERTO,20-12-1994,2,N,-5,0,I,HEAD OFFICE,not_scored,,FALSE,IT,,NON LIMITED,,,,,,,,,B,57,6000,,,,,,,0
IT07334122,POLITO GIUSEPPE,26-03-1997,1,Y,55,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,55,5000,,,,,,,0
IT07353666,VINCI ANTONIO,15-04-1999,,Y,52,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
UK15569732,BAILE DEVELOPMENTS LIMITED,12-12-2016,,Y,48,595,F,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,22,,22,,,,,B,62,9534,,,23,,23,,3
IT07351464,MAURIZIO BUSELLI,08-01-1987,1,Y,55,5000,K,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,55,5000,,,,,,,0
UK15564508,AS BUILDINGS LIMITED,08-12-2016,4,Y,69,303908,N,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,6,,6,,UK15564138,AS BUILDING GROUP LIMITED,GBR,A,80,327744,,,3,,3,,2
IE00254759,DUNDALK LIGHTING LIMITED,31-01-1997,7,Y,91,150000,,HEAD OFFICE,A,EUR,TRUE,IE,,LIMITED,,16,,16,,IE00130439,DUNFIT LIMITED,IRL,A,91,150000,,,16,,16,,2
UK13513519,PRO STONE BUILDING SERVICES LTD,04-03-2015,,N,-34,0,F,HEAD OFFICE,not_scored,GBP,TRUE,GB,,LIMITED,,120,,120,,,,,not_scored,-34,0,,,120,,120,,0
UK13562288,FORUM AUTOS LIMITED,24-03-2015,5,Y,40,1191,G,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,,,,,,,,D,24,0,,,,,,,0
UK15607316,GOLDENACRE GROCERY LTD,05-01-2017,12,Y,52,23835,G,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,4,,4,,,,,B,52,8938,,,5,,5,,0
IE00000521,CHADWICKS GROUP LIMITED,31-12-1909,,N,-33,0,G,HEAD OFFICE,not_scored,EUR,TRUE,IE,,LIMITED,,32,,32,,IE00002384,GRAFTON GROUP PUBLIC LIMITED COMPANY,IRL,not_scored,-33,0,,,,,,,204
UK15676082,HAJ GROUP (N.I.) LIMITED,02-02-2017,18,Y,63,59589,G,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,,,,,,,,B,55,59589,,,,,,,0
UK15767838,SEARCHWISE ABERDEEN LIMITED,14-03-2017,1,N,-32,0,N,HEAD OFFICE,not_scored,GBP,TRUE,GB,,LIMITED,,,,,,IE00484740,IRISH SEA CONTRACTORS LTD,IRL,not_scored,-32,0,,,,,,,3
UK15789325,BACK TO THE GARDEN CHILDCARE LIMITED,25-03-2017,35,Y,46,595,P,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,,,,,UK08871776,APPLEBARN NURSERIES LIMITED,GBR,C,38,595,,,4,,4,,2
UK13705650,JACOBEE MANAGEMENT LTD,21-05-2015,1,N,-19,0,N,HEAD OFFICE,not_scored,GBP,TRUE,GB,,LIMITED,,,,,,,,,A,85,8938,,,,,,,0
IT07274577,SAL FRUTTA DI FORINO SALVATORE,19-04-1995,1,Y,52,5000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
IE00262464,EURO-ACCESS LIMITED,01-07-1997,2,Y,78,1000,,HEAD OFFICE,A,EUR,TRUE,IE,,LIMITED,,,,,,UK19436927,FOX INVESTMENTS [HOLDINGS] LTD,GBR,A,75,25000,-56203,306254,,,,,46
IT07368852,POLICAR DI BARRETTA ROBERTO,09-01-2007,3,Y,58,6000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,57,6000,,,,,,,0
BE00692625,"BRIGNOLI, DIÉGO",01-10-1997,,Y,51,1500,M,HEAD OFFICE,B,,TRUE,BE,,NON LIMITED,,,,,0.00813,,,,B,51,1500,,,,,,0.00813,0
IT07359459,DEL CURTO MIRKO,23-04-2012,,Y,56,6000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,56,6000,,,,,,,0
IT07366778,MASSEI DONATELLA,02-05-2000,1,Y,54,5000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,54,5000,,,,,,,0
IT07366298,FRATI FABIO,25-01-1990,,Y,49,4000,F,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,49,4000,,,,,,,0
IT07358721,BALSAMO CIRO,23-05-2005,,Y,48,4000,F,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,48,4000,,,,,,,0
IE00219337,SPINAL INJURIES IRELAND,24-11-1994,12,Y,91,150000,,HEAD OFFICE,A,EUR,TRUE,IE,1195516,LIMITED,-137513,,,,,,,,A,91,150000,-111490,1110113,,,,,0
IT07273539,CORRADIN MAURA,23-04-1997,1,Y,56,6000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,56,6000,,,,,,,0
IT07270997,GHIRALDI LUIGI,04-12-1996,,Y,57,6000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,56,6000,,,,,,,0
IE00413641,LCML LIMITED,16-06-2006,28,Y,79,265000,G,HEAD OFFICE,A,EUR,TRUE,IE,,LIMITED,,0,,0,,,,,A,79,250000,,,0,,0,,0
IE00420301,CLASSIC AIR LIMITED,24-10-2006,7,Y,76,75000,F,HEAD OFFICE,A,EUR,TRUE,IE,,LIMITED,,0,,0,,,,,A,71,25000,,,0,,0,,0
IE00449213,WAYFAIR STORES LIMITED,20-05-2008,427,Y,44,100000,G,HEAD OFFICE,C,EUR,TRUE,IE,532254000,LIMITED,-212657000,,,,,US42030619,WAYFAIR INC.,USA,C,44,100000,-406240000,787536000,,,,,31
IT07271927,BEACH BAR DI FABBRI MIRCO,16-09-1997,,Y,58,15000,I,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,58,15000,,,,,,,0
IT07272661,LAMANNA ANTONIO,03-02-1986,,Y,52,5000,I,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,D,25,0,,,,,,,0
IE00479280,PFIZER LIMITED,01-01-1901,,N,-56,0,,HEAD OFFICE,not_scored,,TRUE,IE,,LIMITED,,,,,,,,,not_scored,-56,0,,,,,,,0
IE00480950,DELPHI FISHERY LIMITED,11-08-1986,18,Y,30,1000,A,HEAD OFFICE,C,EUR,TRUE,IE,,LIMITED,-127517,,,,,,,,B,55,17500,8594,,,,,,0
IT07278288,SHINY DI PELLEGRINI PATRIZIA,03-04-2014,1,N,-5,0,N,HEAD OFFICE,not_scored,,FALSE,IT,,NON LIMITED,,,,,,,,,C,44,3000,,,,,,,0
IE00489883,MAVCO BUILDING SERVICES LIMITED,24-11-2010,18,Y,85,285000,F,HEAD OFFICE,A,EUR,TRUE,IE,,LIMITED,,39,,39,,,,,A,82,225000,,,,,,,0
IE00521045,CALLISTOY LIMITED,14-01-2013,182,Y,63,115000,G,HEAD OFFICE,B,EUR,TRUE,IE,21818676,LIMITED,-197051,30,,30,,,,,C,48,62000,-101330,21771980,22,,22,,0
IT07277540,LAMBERTI ALVISE,30-03-1971,1,Y,55,5000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,55,5000,,,,,,,0
IT07286320,TORDI PAOLO SERAFINO,13-02-2007,1,Y,50,4000,C,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,50,4000,,,,,,,0
IE00534311,TYRRELL REFRIGERATION & AIR CONDITIONING LIMITED,14-11-2013,12,Y,74,27000,F,HEAD OFFICE,A,EUR,TRUE,IE,,LIMITED,,,,,,,,,B,63,20000,,,,,,,0
IT07287458,FESTOSI GUIDA CARMINE,19-07-1988,,Y,50,4000,H,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,50,4000,,,,,,,0
IE00541574,ATEX & VERIFICATION SERVICES LIMITED,14-04-2014,18,Y,82,75000,C,HEAD OFFICE,A,EUR,TRUE,IE,,LIMITED,,,,,,,,,A,93,51000,,,,,,,0
IT07272993,ZANIRATO THOMAS,09-01-2009,,Y,55,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,55,5000,,,,,,,0
IT07293343,D ALESSANDRO SANDRA,08-10-2001,1,N,-5,0,G,HEAD OFFICE,not_scored,,FALSE,IT,,NON LIMITED,,,,,,,,,B,51,5000,,,,,,,0
UK13378742,THE GARDEN DESIGN COMPANY (MIDLANDS) LIMITED,07-01-2015,32,Y,44,1191,N,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,4,,4,,,,,B,52,20856,,,,,,,0
IT07302319,DE MARTINO LIBERATA,17-02-2006,,Y,53,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
UK13426202,GLUE QA LIMITED,27-01-2015,5,Y,63,23835,M,HEAD OFFICE,B,GBP,TRUE,GB,,LIMITED,,,,,,,,,B,63,23835,,,2,,2,,0
IT07300409,KARBOU MOHAMED,28-06-2005,,Y,49,4000,G,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,49,4000,,,,,,,0
IT08686267,C.R. DISTRIBUZIONE S.R.L.S.,12-07-2016,1,Y,52,2000,G,HEAD OFFICE,B,EUR,TRUE,IT,77523,LIMITED,3074,,,,,,,,C,50,500,3539,65444,,,,,0
IT07298330,FRANCO MARIO,14-06-2013,,Y,52,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
IT07274488,PEZZAN MARTA,20-08-1985,,Y,57,6000,S,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,57,6000,,,,,,,0
IT07288828,ROSSATO GIANCARLO,19-06-1997,,Y,56,6000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,56,6000,,,,,,,0
IT07300268,NICOLETTA GIOVANNI,22-10-1999,,Y,48,4000,F,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,48,4000,,,,,,,0
IE00034073,HEYCO-WERK IRELAND LIMITED,01-01-1973,34,Y,63,145000,C,HEAD OFFICE,B,EUR,TRUE,IE,,LIMITED,,0,,0,,DE01056857,HEYCO HOLDING GMBH,DEU,C,46,73000,,,0,,0,,6
IT07284235,DE MARCO MARIA,12-11-1993,,Y,50,4000,G,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,50,4000,,,,,,,0
IE00016662,MARLBORO TRUST (RETAIL) DESIGNATED ACTIVITY COMPANY,01-04-1965,109,Y,71,610000,G,HEAD OFFICE,A,EUR,TRUE,IE,18702436,LIMITED,-620127,,,,,IE00016661,MARLBORO'' TRUST DESIGNATED ACTIVITY COMP,IRL,A,82,745000,-294445,17626355,,,,,4
IT07277901,CALIENDI REMIGIO,08-02-2010,,Y,53,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,53,5000,,,,,,,0
IE00058773,EXERTIS SUPPLY CHAIN SERVICES LIMITED,12-09-1978,46,Y,95,6150000,C,HEAD OFFICE,A,EUR,TRUE,IE,77449000,LIMITED,1577000,6,,6,,IE00048992,DCC PUBLIC LIMITED COMPANY,IRL,A,95,6000000,469000,56390000,10,,10,,562
IT07296357,RUSSOMANDO LUISA,20-07-1999,1,Y,51,5000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,51,5000,,,,,,,0
IE00048465,ATA TOOLS LIMITED,23-02-1976,134,Y,86,875000,,HEAD OFFICE,A,EUR,TRUE,IE,32091109,LIMITED,-1651535,14,,14,,US131047137,HARVEY TOOL COMPANY LLC,USA,A,93,975000,373729,28720991,22,,22,,21
IT07304290,OREFICERIA MURINO GIOVANNI,27-12-2002,,Y,49,4000,G,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,49,4000,,,,,,,0
IE00086052,ARBORETUM GARDEN CENTRE LIMITED,10-11-1982,112,Y,96,375000,I,HEAD OFFICE,A,EUR,TRUE,IE,9268474,LIMITED,211258,,,,,IE01187210,ANDROKA HOLDING COMPANY LIMITED,IRL,A,91,335000,864089,8774810,5,,5,,3
UK13373983,REACH DIGITAL TELECOMS LTD,06-01-2015,35,Y,46,11917,N,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,9,,9,,UK06115989,4COM TECHNOLOGIES LIMITED,GBR,B,59,32774,,,25,,25,,12
IT07295347,VICINANZA FABIO,17-03-2000,1,Y,48,4000,K,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,48,4000,,,,,,,0
IT07270540,MALANDRINO GIUSEPPE,07-04-1992,2,Y,57,6000,S,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,57,6000,,,,,,,0
IT07277730,SCHIAVONE GIUSEPPA,26-09-1975,3,Y,54,5000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,54,5000,,,,,,,0
UK13355976,WALTON PIGS LIMITED,18-12-2014,5,Y,82,29794,A,HEAD OFFICE,A,GBP,TRUE,GB,,LIMITED,,,,,,,,,A,82,29794,,,,,,,0
IE00121249,CELBRIDGE MEATS LIMITED,03-12-1987,8,Y,62,50000,G,HEAD OFFICE,B,EUR,TRUE,IE,,LIMITED,,,,,,,,,B,63,50000,,,,,,,0
IE00134554,AAG HANGAR 1  LIMITED,17-02-1989,,N,-33,0,H,HEAD OFFICE,not_scored,EUR,TRUE,IE,,LIMITED,,,,,,IE00559657,QUADVIEW LIMITED,IRL,A,91,2500000,-26891,46556391,,,,,8
IE00134554,AAG HANGAR 1  LIMITED,17-02-1989,,N,-33,0,H,HEAD OFFICE,not_scored,EUR,TRUE,IE,,LIMITED,,,,,,IE00559657,QUADVIEW LIMITED,IRL,A,91,2500000,-26891,46556391,,,,,8
IE00121249,CELBRIDGE MEATS LIMITED,03-12-1987,8,Y,62,50000,G,HEAD OFFICE,B,EUR,TRUE,IE,,LIMITED,,,,,,,,,B,63,50000,,,,,,,0
IE00235410,JOHN SISK & SON (HOLDINGS) LIMITED,23-11-1995,1193,Y,100,13700000,M,HEAD OFFICE,A,EUR,TRUE,IE,1560100000,LIMITED,27300000,34,,34,,IE00000205,SICON LIMITED,IRL,A,97,10000000,400000,1031000000,24,,24,,48
IT07295836,MALINCONICO FILOMENA,13-06-2011,,Y,52,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
IT07294223,THE SISTEM PROJECT HOUSE DI DELLI BOVI EGIDIO,08-11-2005,,Y,48,4000,F,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,48,4000,,,,,,,0
IT07290988,FERRARI NATALE,16-05-2008,,Y,51,5000,K,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,51,5000,,,,,,,0
IT07294429,MIGLIARO CARMINE,31-07-2006,,Y,53,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
IT07303328,REGINA DEL CASTELLO,06-11-1986,,Y,55,2000,F,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,55,2000,,,,,,,0
IT07307027,PROGETTO IPOTENUSA ONLUS - ASSOCIAZIONE -,15-01-1999,,Y,57,2000,Q,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,57,2000,,,,,,,0
IT07298384,LEONARDO ANTONIO,28-03-1997,,Y,53,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,53,5000,,,,,,,0
IT07305723,ORZA ROSALIA,19-09-2011,,Y,52,5000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
IT07292459,MARRAZZO SALVATORE,09-09-2002,1,Y,51,5000,K,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,51,5000,,,,,,,0
IT07304858,FERRARA GAETANO,18-04-2012,,Y,48,4000,G,HEAD OFFICE,C,,TRUE,IT,,NON LIMITED,,,,,,,,,C,48,4000,,,,,,,0
IT07291999,MARTORELLI ROSA,13-04-1999,2,Y,52,5000,G,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
